Ip,Ton,Toff,Vs,MRR,SR,Surrogate
24,112,60,235,8.429090499648622,2.4876824130952397,RF
21,113,60,235,8.20763482952163,2.246724055158719,RF
20,113,60,234,8.121332351395207,2.1280482860389567,RF
24,113,60,235,8.474642930172253,2.5262920563492024,RF
28,114,50,234,8.761065786616525,2.947029315873012,RF
20,110,60,231,7.943245969320166,1.966211080303038,RF
20,115,60,238,8.155912823453104,2.223051794444447,RF
28,113,60,233,8.655283838951304,2.7154860492063393,RF
27,113,60,236,8.625141989950222,2.6911787176406863,RF
24,112,60,234,8.419255970950207,2.485969596428573,RF
30,114,60,232,8.674540329251094,2.76540240992063,RF
30,113,50,233,8.729698493695528,2.881925554365075,RF
29,114,50,233,8.769952512249457,2.954853701190473,RF
30,113,60,235,8.66838756147602,2.7206606047618966,RF
24,112,60,230,8.406028848555364,2.4819934035714306,RF
26,113,60,233,8.570954233697698,2.6484470571428482,RF
23,111,60,231,8.276953229738083,2.345358880519486,RF
20,112,60,229,7.968097970334058,2.064421982142865,RF
20,112,60,231,7.976290603784456,2.065345198809532,RF
20,111,60,233,7.956801263475649,2.0233129079365035,RF
24,111,60,234,8.340995660579887,2.4248678219474953,RF
22,111,60,231,8.213551553081343,2.2550451954184707,RF
20,112,60,230,7.970840193417391,2.0649870321428656,RF
22,111,60,232,8.21452681658134,2.256103662085138,RF
27,113,60,237,8.630048101513717,2.6939688208152894,RF
27,113,60,233,8.624783048581177,2.688471473196241,RF
27,114,50,234,8.753542957650254,2.9362455341269817,RF
29,113,60,232,8.65814521257035,2.7162152769841175,RF
30,113,50,234,8.731702323386004,2.8822505543650756,RF
23,111,60,233,8.277769741321418,2.3462663055194866,RF
26,113,60,235,8.574688923834602,2.652924614285705,RF
25,110,60,233,8.364862659761032,2.437045036111117,RF
30,114,50,232,8.771406248423158,2.9581083404761883,RF
26,113,60,234,8.571989466947697,2.651579411904753,RF
20,110,60,230,7.937663746369768,1.9651912064935138,RF
30,113,60,233,8.661541196691385,2.7178778472222143,RF
24,112,60,237,8.431770160130766,2.49255846309524,RF
24,112,60,236,8.429190214172433,2.488112996428573,RF
25,110,60,231,8.36321469224119,2.4351971206349265,RF
29,114,60,235,8.680626484414699,2.7800776687728925,RF
20,110,58,222,7.741612021561349,1.937185551893428,SVR
30,116,50,237,8.820487654351211,3.012539172027789,SVR
20,111,60,228,7.993219214770885,2.0210028970197076,SVR
20,112,60,228,8.039917823978547,2.0768252025574494,SVR
21,113,60,230,8.19862793338801,2.2461618047891214,SVR
28,112,60,231,8.583779834306846,2.669616962852833,SVR
20,113,60,229,8.089338580082046,2.1254164866276466,SVR
20,110,59,235,7.930092469667301,1.962102429263514,SVR
20,111,60,236,8.038069234147745,2.0366212758389257,SVR
20,110,60,237,7.984804903897244,1.982380932762248,SVR
25,111,60,234,8.439057985978147,2.5028183535713326,SVR
30,112,50,233,8.721816309696068,2.864482154248662,SVR
30,114,50,231,8.772163042439907,2.9423897077470773,SVR
28,113,60,232,8.62771984408729,2.718969030709513,SVR
24,112,60,233,8.425651458943813,2.491334858466453,SVR
30,116,60,237,8.716197051650408,2.831956161839023,SVR
21,112,60,236,8.18934531050284,2.215735901258198,SVR
23,112,60,235,8.364518345023335,2.4202531469329602,SVR
20,112,60,236,8.087154922193966,2.093676151204364,SVR
24,110,60,236,8.328810209203347,2.3841936976124414,SVR
23,111,60,230,8.286309189824147,2.347873893821236,SVR
30,111,60,236,8.576540893330746,2.6404081225969596,SVR
20,110,60,230,7.960077173042945,1.9622405151169797,SVR
22,112,60,234,8.27945660668336,2.3199993272267503,SVR
30,113,50,237,8.767903204772562,2.928083646132797,SVR
20,110,59,229,7.896493410440234,1.9478101784290676,SVR
28,110,60,233,8.491594188654389,2.5555228035679485,SVR
30,113,60,234,8.65760165286397,2.73364570673857,SVR
20,114,60,236,8.156274672460764,2.182160835757485,SVR
30,112,60,236,8.623688570679253,2.6948780498984517,SVR
28,114,60,234,8.664113652540607,2.7616212271200524,SVR
20,113,60,232,8.114290836456465,2.12988565368907,SVR
28,113,50,232,8.731150562261378,2.8996222210462275,SVR
23,113,60,232,8.388168451184947,2.455930210397993,SVR
30,115,60,237,8.708253554758397,2.8133379490981287,SVR
30,114,50,233,8.784963918933265,2.9475647222936425,SVR
21,114,60,233,8.247827782111486,2.2905879354369563,SVR
30,113,60,232,8.647894154234473,2.727612486709261,SVR
20,110,60,235,7.98267231050895,1.9726438877690011,SVR
24,111,60,234,8.381525415237407,2.4384236969541284,SVR
22,114,60,232,8.333698624666955,2.397462310006944,SVR
24,111,60,235,8.384618212991098,2.4426423842526384,SVR
22,110,60,234,8.171908932601172,2.197709072212645,SVR
25,111,60,236,8.443156355974725,2.511095902519779,SVR
22,112,60,236,8.284011792779934,2.3284965942313036,SVR
30,111,60,231,8.55633749452826,2.623788125709541,SVR
30,113,60,236,8.661787998157463,2.742030630776513,SVR
20,110,58,232,7.876987398327236,1.946713016348534,SVR
22,111,60,236,8.23464054523601,2.2709627935925774,SVR
20,111,60,231,8.019964456579642,2.022525448025176,SVR
24,110,60,234,8.323727181003552,2.3747725065680947,SVR
20,114,60,233,8.148615916357631,2.171173553341422,SVR
20,110,58,223,7.76306675827167,1.9374046070536886,SVR
24,111,60,232,8.371211576953412,2.431782238469738,SVR
26,110,60,230,8.405173385757683,2.482319888524121,SVR
26,112,60,233,8.530515659217027,2.60752641997053,SVR
27,110,60,230,8.4435155339774,2.5223443279368496,SVR
20,110,58,229,7.853947121592535,1.941231003508357,SVR
30,113,60,231,8.640954736497214,2.7254501107902422,SVR
20,111,60,233,8.030868304712937,2.0261945223392104,SVR
20,110,58,224,7.783130972413337,1.9379473123135411,SVR
28,111,60,232,8.542730330353976,2.615165080133114,SVR
30,114,50,237,8.794884236527702,2.9653363438046747,SVR
20,111,60,229,8.003749703914393,2.0211882377567036,SVR
26,112,60,234,8.534419251298845,2.6104573618340337,SVR
30,114,50,235,8.792638997555235,2.955323776021685,SVR
26,110,60,232,8.420108741064237,2.4861454785534143,SVR
30,112,50,237,8.73101933685045,2.8816774284742412,SVR
30,115,60,235,8.706054448576172,2.80338603546799,SVR
23,111,60,231,8.294618274904813,2.349645274870141,SVR
30,110,60,237,8.522477696843415,2.5868938058544684,SVR
23,110,60,231,8.237075737272779,2.2854904186024076,SVR
30,112,60,234,8.61985335440226,2.686684146418486,SVR
30,115,60,232,8.692601395956382,2.7926672278410902,SVR
20,110,58,225,7.801332434456859,1.938568866996301,SVR
30,113,50,235,8.766024526002324,2.9184834455971274,SVR
26,110,60,231,8.413359139255054,2.48404005704007,SVR
21,113,60,232,8.214336195270148,2.2501693443883304,SVR
20,110,59,233,7.923259527425364,1.9546098780152135,SVR
30,112,50,235,8.729421844224564,2.872342253909155,SVR
30,110,60,235,8.520827812260338,2.5773734123588925,SVR
23,113,60,233,8.39433338573236,2.459185639728066,SVR
20,110,59,230,7.905008201426457,1.9485986141429716,SVR
30,114,60,232,8.675211509991714,2.765043007492598,SVR
20,111,60,230,8.012591942677581,2.021630180117789,SVR
30,111,60,232,8.563244083442429,2.6260510249213076,SVR
23,111,60,233,8.307599373521345,2.3551115281220016,SVR
30,115,50,233,8.80184300919794,2.9748587467002965,SVR
30,115,60,233,8.698390254388329,2.7955977927100037,SVR
20,110,58,226,7.817451708316569,1.9391575632804143,SVR
30,113,50,233,8.75844399765978,2.9107877329526683,SVR
21,113,60,233,8.22017217502658,2.2530209333426723,SVR
27,110,60,232,8.458421675616034,2.526134872230283,SVR
22,110,60,233,8.167554639092907,2.1940758096594832,SVR
20,113,60,230,8.099102611148325,2.126427604788603,SVR
20,114,60,232,8.142915795815204,2.1684144683340745,SVR
23,113,60,234,8.399080729273486,2.4629777244613424,SVR
30,113,50,231,8.745471693909877,2.9053723704393315,SVR
30,116,60,235,8.713828142551513,2.821822908806055,SVR
22,114,60,234,8.344655832062292,2.404422781297845,SVR
30,111,60,233,8.56868261845433,2.628825705725925,SVR
30,112,60,233,8.61583875155346,2.6834248619105034,SVR
