Ip,Ton,Toff,Vs,MRR,SR,Surrogate
30,114,50,235,8.792638997555235,2.955323776021685,SVR
26,110,60,232,8.420108741064237,2.4861454785534143,SVR
30,112,50,237,8.73101933685045,2.8816774284742412,SVR
30,115,60,235,8.706054448576172,2.80338603546799,SVR
23,111,60,231,8.294618274904813,2.349645274870141,SVR
30,110,60,237,8.522477696843415,2.5868938058544684,SVR
23,110,60,231,8.237075737272779,2.2854904186024076,SVR
30,112,60,234,8.61985335440226,2.686684146418486,SVR
30,115,60,232,8.692601395956382,2.7926672278410902,SVR
20,110,58,225,7.801332434456859,1.938568866996301,SVR
30,113,50,235,8.766024526002324,2.9184834455971274,SVR
26,110,60,231,8.413359139255054,2.48404005704007,SVR
21,113,60,232,8.214336195270148,2.2501693443883304,SVR
20,110,59,233,7.923259527425364,1.9546098780152135,SVR
30,112,50,235,8.729421844224564,2.872342253909155,SVR
30,110,60,235,8.520827812260338,2.5773734123588925,SVR
23,113,60,233,8.39433338573236,2.459185639728066,SVR
20,110,59,230,7.905008201426457,1.9485986141429716,SVR
30,114,60,232,8.675211509991714,2.765043007492598,SVR
20,111,60,230,8.012591942677581,2.021630180117789,SVR
30,111,60,232,8.563244083442429,2.6260510249213076,SVR
23,111,60,233,8.307599373521345,2.3551115281220016,SVR
30,115,50,233,8.80184300919794,2.9748587467002965,SVR
30,115,60,233,8.698390254388329,2.7955977927100037,SVR
20,110,58,226,7.817451708316569,1.9391575632804143,SVR
30,113,50,233,8.75844399765978,2.9107877329526683,SVR
21,113,60,233,8.22017217502658,2.2530209333426723,SVR
27,110,60,232,8.458421675616034,2.526134872230283,SVR
22,110,60,233,8.167554639092907,2.1940758096594832,SVR
20,113,60,230,8.099102611148325,2.126427604788603,SVR
20,114,60,232,8.142915795815204,2.1684144683340745,SVR
23,113,60,234,8.399080729273486,2.4629777244613424,SVR
30,113,50,231,8.745471693909877,2.9053723704393315,SVR
30,116,60,235,8.713828142551513,2.821822908806055,SVR
22,114,60,234,8.344655832062292,2.404422781297845,SVR
30,111,60,233,8.56868261845433,2.628825705725925,SVR
30,112,60,233,8.61583875155346,2.6834248619105034,SVR
30,115,60,234,8.702876663256424,2.799170637716894,SVR
20,110,58,230,7.862853446034161,1.9424949447446238,SVR
30,114,60,237,8.690092521008033,2.7850212446939615,SVR
30,113,50,234,8.762909023612584,2.914343580490681,SVR
21,111,60,233,8.131481805372726,2.1465920055532886,SVR
30,110,60,231,8.501038045368508,2.5642994398049788,SVR
30,114,60,234,8.685269289385912,2.7712992473880687,SVR
23,110,60,235,8.257437750540461,2.29903896690676,SVR
30,115,50,235,8.809691080909971,2.98290079330189,SVR
30,116,50,234,8.814189383440688,2.997041363359358,SVR
21,111,60,236,8.13977373795906,2.157958845716547,SVR
20,110,58,227,7.831482484422031,1.9397218097145914,SVR
30,114,60,231,8.668156909186926,2.7628045094269567,SVR
30,112,60,231,8.603553732515307,2.678580349085866,SVR
28,110,60,231,8.479509628538443,2.5509326462789987,SVR
23,112,60,233,8.35664887389178,2.4122666805657733,SVR
27,111,60,234,8.524068268820098,2.593660814959366,SVR
28,112,60,233,8.595598980723024,2.673719356148814,SVR
22,112,60,232,8.268948687527148,2.3133917838764373,SVR
23,113,60,235,8.402288725558606,2.4672321240289534,SVR
23,110,60,236,8.25945717185349,2.304194824909669,SVR
24,110,60,233,8.319226057157655,2.371065855619351,SVR
20,113,60,234,8.123790040487378,2.135539117357678,SVR
27,111,60,235,8.526392716302063,2.596880987034201,SVR
20,110,58,228,7.8435712529160515,1.9403617696219575,SVR
22,111,60,235,8.232996592391732,2.2663452703333578,SVR
28,112,60,234,8.599387593540378,2.6764122265211583,SVR
20,113,60,236,8.127141642630658,2.1429942003346367,SVR
27,110,60,234,8.467523630353247,2.531444833295633,SVR
22,112,60,231,8.261749509201303,2.3110010870891013,SVR
21,112,60,233,8.181116447698011,2.2046122347758286,SVR
26,111,60,232,8.477171604035862,2.5488599535605663,SVR
20,111,60,234,8.034506471876924,2.029056556176233,SVR
20,110,59,231,7.912208381404815,1.9499213059992186,SVR
30,115,50,232,8.79608764046733,2.9719059768209766,SVR
21,111,60,234,8.135576944005466,2.149824370419135,SVR
30,111,60,235,8.57531474742833,2.6360270219071684,SVR
21,112,60,234,8.185365082303154,2.207885241574482,SVR
23,113,60,236,8.403823243870418,2.471820203451274,SVR
20,112,60,229,8.050966371722437,2.077326421429872,SVR
21,113,60,236,8.228510092185454,2.264269903094952,SVR
23,111,60,236,8.317176013313187,2.367977206939225,SVR
28,113,50,233,8.736732701736555,2.902404441348017,SVR
28,111,60,233,8.547906510506998,2.617468818526256,SVR
27,110,60,236,8.471126368943903,2.5387461947032537,SVR
30,116,50,236,8.81976686037756,3.0068914877643333,SVR
30,115,50,236,8.8117111474306,2.987927062495687,SVR
20,111,60,235,8.036917733037482,2.032558936648341,SVR
20,110,60,233,7.976701877678665,1.9660186785764728,SVR
27,110,60,235,8.470002949778701,2.5348335897005754,SVR
20,113,60,235,8.126268637981246,2.139089592361769,SVR
20,114,60,235,8.15537201073807,2.178134431566364,SVR
23,112,60,232,8.350607511610916,2.4091103952263446,SVR
20,112,60,235,8.08621915606555,2.0897983037043435,SVR
20,112,60,230,8.060360562699957,2.078096919964067,SVR
27,110,60,231,8.45172089467664,2.524084857657697,SVR
28,113,60,233,8.633027086971682,2.721237785620592,SVR
23,111,60,232,8.301713683022053,2.3520412318882435,SVR
20,112,60,231,8.068267683451026,2.0793006984656563,SVR
